id,station_name,city,state,zip,latitude,longitude,ev_connector_types,ev_network,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,date_last_confirmed
49122,Lodi City Hall,Lodi,CA,95240,38.13437,-121.2884,J1772,Non-Networked,0,0,4,2023-05-03
49127,Sierra Chrysler Dodge Jeep Ram,Monrovia,CA,91016,34.13867,-117.9869,J1772,Non-Networked,0,0,3,2024-05-09
49130,Rancho Sierra Vista - Public Parking Lot,Newbury Park,CA,91320,34.152947,-118.965356,J1772,Non-Networked,0,0,1,2025-01-13
49131,Ontario International Airport,Ontario,CA,91761,34.0616,-117.5935,J1772,Non-Networked,0,0,6,2023-06-12
49133,John T Lyle Center for Regenerative Studies,Walnut,CA,91768,34.049341,-117.82341,J1772,Non-Networked,0,0,2,2023-05-03
49134,University of California - Davis Medical Center,Sacramento,CA,95817,38.553545,-121.4561,J1772,Non-Networked,0,0,50,2023-10-12
49149,Mojave Desert Air Quality Management District,Victorville,CA,92392,34.511036,-117.325348,J1772,Non-Networked,0,0,3,2023-05-03
49329,City of Davis - City Hall,Davis,CA,95616,38.546699,-121.7461,J1772,Non-Networked,0,0,2,2025-05-12
49330,Yolo-Solano Air Quality Management District,Davis,CA,95618,38.54246,-121.7279,J1772,Non-Networked,0,0,2,2025-06-06
49333,Malibu Civic Center,Malibu,CA,90265,34.037227,-118.689023,J1772,Non-Networked,0,0,3,2024-07-11
49336,HARTNELLCOLLEGE CENTRAL AVE 1,Salinas,CA,93901,36.673856,-121.665804,J1772,ChargePoint Network,0,0,2,2025-10-13
49350,Vallejo City Hall,Vallejo,CA,94590,38.1022,-122.261,J1772,Non-Networked,0,0,2,2023-10-12
50011,InterContinental Hotel - San Francisco,San Francisco,CA,94103,37.782079,-122.404764,J1772,Non-Networked,0,0,2,2025-05-12
50153,City of Pasadena - Los Robles Garage,Pasadena,CA,91101,34.144224,-118.142129,J1772,Non-Networked,0,0,6,2025-06-06
50154,City of Pasadena - Plaza Las Fuentes,Pasadena,CA,91101,34.148186,-118.141776,J1772,Non-Networked,0,0,4,2025-06-06
50157,Best Western - Pepper Tree Inn,Santa Barbara,CA,93105,34.441146,-119.748892,J1772,Non-Networked,0,0,2,2025-06-06
50424,Los Angeles Metro - Chatsworth Metrolink Station,Chatsworth,CA,91311,34.253049,-118.598675,J1772,Non-Networked,0,0,3,2022-01-10
50736,Oakland International Airport - Economy Lot,Oakland,CA,94621,37.7153,-122.2145,J1772,Non-Networked,0,0,2,2023-06-12
50799,City of Temecula - Old Town Parking Garage,Temecula,CA,92590,33.49353,-117.146,J1772,Non-Networked,0,0,2,2023-01-10
50949,Wilson Sonsini Goodrich & Rosati,Palo Alto,CA,94304,37.42153,-122.14477,J1772,Non-Networked,0,0,2,2023-08-10
51002,University of California Davis - Institute of Transportation Studies,Davis,CA,95616,38.54215,-121.771,J1772,Non-Networked,0,0,2,2024-09-12
51204,BoardTronics,Roseville,CA,95678,38.797142,-121.31234,J1772,Non-Networked,0,0,2,2024-08-15
